Category|Title / Resource|Type|Link|Description / Use|Difficulty Level
Learning Path|Digital Logic & RTL Foundation|Plan|-|Learn combinational and sequential logic; FSMs; clocking; resets; pipelining before diving into Verilog|Beginner
Learning Path|Verilog Basics (Modules, Ports, always blocks)|Plan|-|Study synthesizable vs non-synthesizable Verilog constructs and create small test modules|Beginner
Learning Path|FPGA RTL Design Flow|Plan|-|Learn how to simulate then synthesize then place & route then generate bitstream|Beginner-Intermediate
Learning Path|Interface Protocol Practice|Plan|-|Implement common protocols like SPI, I2C, UART, AXI to understand handshaking and bus timing|Intermediate
Learning Path|Verification & Debugging|Plan|-|Practice waveform analysis; testbenches; timing closure; optimization|Intermediate
Learning Path|Full Projects|Plan|-|Build end-to-end FPGA systems such as UART controller, soft processor, video pipeline|Intermediate-Advanced
Fundamentals|Nandland Verilog Tutorials|Website|[https://nandland.com/learn-verilog/|Simple](https://nandland.com/learn-verilog/|Simple) beginner-friendly Verilog basics and FPGA demos|Beginner
Fundamentals|FPGA Tutorial: Learn Verilog|Website|[https://fpgatutorial.com/verilog/|Practical](https://fpgatutorial.com/verilog/|Practical) lessons with example modules and synthesis flow|Beginner
Fundamentals|ChipVerify Verilog Tutorial|Website|[https://www.chipverify.com/tutorials/verilog|Detailed](https://www.chipverify.com/tutorials/verilog|Detailed) Verilog explanation with testbench and simulation examples|Beginner
Fundamentals|Doulos RTL Verilog Overview|Article|[https://www.doulos.com/knowhow/verilog/rtl-verilog/|Explains](https://www.doulos.com/knowhow/verilog/rtl-verilog/|Explains) synthesizable RTL constructs and design best practices|Beginner
Fundamentals|NPTEL: Digital Design with Verilog|Course|[https://onlinecourses.nptel.ac.in/noc24_cs61/|Free](https://onlinecourses.nptel.ac.in/noc24_cs61/|Free) government course with detailed Verilog design principles|Beginner-Intermediate
Fundamentals|Intel: Verilog HDL Advanced|Course|[https://learning.intel.com/Developer/learn/course/external/view/classroom/861/verilog-hdl-advanced|Advanced](https://learning.intel.com/Developer/learn/course/external/view/classroom/861/verilog-hdl-advanced|Advanced) FSMs, modules, and simulation methods|Intermediate
Fundamentals|VLSIFirst: Top RTL Design Tools|Blog|[https://vlsifirst.com/blog/top-rtl-design-tools-every-student-must-learn|Overview](https://vlsifirst.com/blog/top-rtl-design-tools-every-student-must-learn|Overview) of free RTL design and simulation tools|Beginner
Fundamentals|Medium: Getting Started with RTL Vivado|Blog|[https://medium.com/@techAsthetic/getting-started-with-rtl-design-using-xilinx-vivado-a-technical-guide-5a25ae03a594|Full](https://medium.com/@techAsthetic/getting-started-with-rtl-design-using-xilinx-vivado-a-technical-guide-5a25ae03a594|Full) walkthrough of FPGA workflow with Xilinx tools|Beginner-Intermediate
Fundamentals|Dev.to: Mastering Hardware Design|Blog|[https://dev.to/vaib/mastering-hardware-design-top-20-vhdl-and-verilog-resources-4dh0|Curated](https://dev.to/vaib/mastering-hardware-design-top-20-vhdl-and-verilog-resources-4dh0|Curated) list of 20+ Verilog and VHDL resources|Beginner
Hands-On Projects|Nandland Your First Verilog Program LED Blinker|Tutorial|[https://nandland.com/your-first-verilog-program-an-led-blinker/|Build](https://nandland.com/your-first-verilog-program-an-led-blinker/|Build) an LED blink module; learn clock division and testbench basics|Beginner
